portuguese,english
were going to make it,nos vamos fazer
tom tried the door,tom tentou abrir a porta
tom says a lot of things he doesnt mean,o tom diz muitas coisas que ele nao quer dizer
tom divorced mary,o tom se divorciou da mary
i have a lot of things to do,estou com um bocado de coisas a serem feitas
he lives in boston,ele mora em boston
was that a no,aquilo foi um nao
do you do yoga,voces praticam ioga
this textbook is good,esta apostila e boa
how many canadian friends do you have,quantos amigos canadenses voces tem
were you able to convince tom to help,conseguiram convencer tom a ajudar
you should be through doing that by now,voce ja deveria ter terminado de fazer isso
she got on her bike and rode away,ela montou em sua bicicleta e foi embora
tom lives near the hospital where he was born,tom mora perto do hospital onde nasceu
shouldnt you have already done that,voce ja nao deveria ter feito isso
tom is fluent in both french and english,tom e fluente em frances e ingles
i dont like tom and mary,eu nao gosto do tom e da mary
tom has risked enough,tom arriscou o bastante
tom doesnt know you as well as i do,tom nao te conhece tao bem quanto eu
tom likes to read books,tom gosta de ler livros
im afraid its going to rain,temo que chova
tom doesnt know if it is true or not,tom nao sabe se isso e verdade ou mentira
tom is aggressive isnt he,tom e violento nao e mesmo
im not so good at this,eu nao sou muito bom nisso
toms passport has been stolen,o passaporte de tom foi roubado
tom asked mary what was happening,tom perguntou a mary o que estava acontecendo
your accusation is preposterous,sua acusacao e risivel
it wont be long,isso nao vai demorar
i have a plan in mind,eu tenho um plano em mente
i dont drink alcohol,nao bebo alcool
i wonder why tom didnt come,eu gostaria de saber por que tom nao veio
tom used to work as a freelance photographer,tom costumava trabalhar como fotografo freelancer
no one will believe them,ninguem vai acreditar neles
i want you to promise me that youll do that,quero que as senhoras me jurem que farao isso
its old,e velho
welcome to your new home,bemvindo a sua nova casa
id like to reserve a room in a hotel,gostaria de reservar um quarto num hotel
tom has given me a lot of help,o tom tem me ajudado muito
tom drank a cup of tea,tom tomou uma xicara de cha
he patted me on the shoulder,ele me deu uns tapinhas no ombro
if god did not exist it would be necessary to invent him,se deus nao existisse seria necessario inventalo
what grade are you in,em que serie voce esta
tom and mary are pretty creative arent they,tom e mary sao muito criativos nao sao
are you hiring,voces estao contratando
tom jogs in the park every day,tom corre no parque todos os dias
tom got married,tom se casou
i heard wolves howling last night,ouvi lobos uivando na noite passada
he played tennis,ele jogou tenis
how much is it,quanto e
he wrote to me yesterday,ele me escreveu ontem
lets pool all our money,vamos juntar todo o nosso dinheiro
dont swim in the river,nao nades no rio
you had no right to do that,a senhora nao tinha o direito de fazer isso
he is making good progress in playing the piano,ele esta fazendo um bom progresso em tocar piano
can i help you clean up,posso te ajudar a limpar
tom told a very funny joke,tom contou uma piada muito engracada
i hope tom isnt cold,espero que tom nao esteja com frio
he keeps his word,ele mantem sua palavra
she was ready to help him with cleaning the house,ela estava pronta em ajudalo a limpar a casa
youre all fools,voces sao todos burros
i speak nothing but the truth,nao digo nada mais que a verdade
the last thing i want to do is leave you here alone,a ultima coisa que eu quero fazer e deixar voce aqui sozinho
tom teaches us french,tom nos ensina frances
tom liked swimming when he was a kid,tom gostava de nadar quando era menino
none of the children were injured,nenhuma das criancas ficaram feridas
tom lost his camera in boston,tom perdeu a camera dele em boston
its never too late to start,nunca e tarde demais para comecar
we ate sandwiches cakes and so on,comemos sanduiches bolos e assim por diante
im always on time,sou sempre pontual
what is the plural of bus,qual e o plural de onibus
it rained five successive days,choveu durante cinco dias seguidos
tom doesnt want to fight with mary,o tom nao quer brigar com a mary
it never happened,nunca aconteceu
my parents got divorced,os meus pais se divorciaram
take this or that,pegue isso ou aquilo
who are you to judge,quem e voce para julgar
your foods getting cold,sua comida esta esfriando
tom is sensible isnt he,tom e sensivel nao e
i dont like you anymore,eu nao gosto mais de voce
tom refused to sign the contract,tom se recusou a assinar o contrato
just because hes rich doesnt mean hes happy,so porque ele e rico nao quer dizer que seja feliz
it wasnt fair,nao foi justo
you have to try again,voce tem de tentar novamente
i had a problem with my car,eu tive um problema com o meu carro
perhaps thats true,talvez isso seja verdade
he has become thin beyond all recognition,ele emagreceu tanto que ninguem pode reconhecelo
what were they wearing,o que eles estavam vestindo
a candle lighted the room,uma vela iluminava a sala
tom said you were hungry,tom disse que voce estava com fome
well visit you one of these days,nos vamos te visitar qualquer dia desses
tom is grounded,tom esta de castigo
its hot outside so lets talk inside,esta quente do lado de fora vamos conversar do lado de dentro
read the book aloud,leia o livro em voz alta
tom has many powerful friends,o tom tem muitos amigos poderosos
tom closed the gate,tom fechou o portao
i couldnt hear a thing,eu nao conseguia ouvir nada
they recognized tom,eles reconheceram o tom
i need to rent a car,preciso alugar um carro
take this medicine before each meal,tome este remedio antes de cada refeicao
can you remember his name,voce consegue lembrar o nome dele
who did tom kiss,quem o tom beijou
could you explain,voce poderia explicar
tom was taken prisoner,tom foi levado prisioneiro
does that answer your question,isso responde a sua pergunta
i couldnt speak french,eu nao sabia falar frances
tom helped mary escape from jail,tom ajudou mary a escapar da prisao
tom said i made the wrong choice,tom disse que eu fiz a escolha errada
we used to be neighbors,nos eramos vizinhos
you cant go,voce nao pode ir
i dont get you,nao estou te entendendo
tom usually wears glasses when he reads,o tom usa oculos quando le
i think the same as you,eu penso o mesmo que voce
youre a good person,tu es boa pessoa
ill go if you will,irei se voces quiserem
i had to wait for a long time,eu tive de esperar muito tempo
im not too busy,nao estou muito ocupado
tom likes his job,tom gosta de seu emprego
can one person make a difference,uma pessoa pode fazer a diferenca
the taxi has arrived,o taxi chegou
should we invite tom for lunch,devemos convidar tom para o almoco
tom seemed to be very annoyed,o tom parecia estar muito irritado
is tom younger than mary,o tom e mais novo que a mary
his house is somewhere around here,a casa dele fica em algum lugar perto daqui
please explain whats happening here,por favor explique o que esta acontecendo aqui
we imported this from australia,nos importamos isso da australia
you wont regret it,voce nao o lamentara
